id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_post_win_prob,home_pregame_elo,home_postgame_elo,away_id,away_team,away_conference,away_points,away_post_win_prob,away_pregame_elo,away_postgame_elo,excitement_index,highlights,notes
63070,2000,1,regular,2000-08-26T00:00:00.000Z,,false,,,,,2348,Louisiana Tech,FBS Independents,63,,,,2400,Mississippi Valley State,,10,,,,,,
63071,2000,1,regular,2000-08-26T00:00:00.000Z,,false,,,,,2641,Texas Tech,Big 12,24,,1467,1502,167,New Mexico,Mountain West,3,,1324,1289,,,
63068,2000,1,regular,2000-08-26T00:00:00.000Z,,false,,,,,52,Florida State,ACC,29,,1921,1952,252,BYU,Mountain West,3,,1603,1572,,,
63069,2000,1,regular,2000-08-26T00:00:00.000Z,,false,,,,,2306,Kansas State,Big 12,27,,1908,1903,2294,Iowa,Big Ten,7,,1344,1349,,,
63072,2000,1,regular,2000-08-27T00:00:00.000Z,,false,,,,,30,USC,Pac-10,29,,1641,1718,213,Penn State,Big Ten,5,,1789,1712,,,
63076,2000,2,regular,2000-08-31T00:00:00.000Z,,false,,,,,249,North Texas,Big West,7,,1181,1153,239,Baylor,Big 12,20,,1191,1219,,,
63075,2000,2,regular,2000-08-31T00:00:00.000Z,,false,,,,,2,Auburn,SEC,35,,1595,1613,2751,Wyoming,Mountain West,21,,1478,1460,,,
63079,2000,2,regular,2000-08-31T00:00:00.000Z,,false,,,,,77,Northwestern,Big Ten,35,,1343,1385,2459,Northern Illinois,Mid-American,17,,1362,1320,,,
63080,2000,2,regular,2000-08-31T00:00:00.000Z,,false,,,,,275,Wisconsin,Big Ten,19,,1852,1848,2711,Western Michigan,Mid-American,7,,1488,1492,,,
63074,2000,2,regular,2000-08-31T00:00:00.000Z,,false,,,,,21,San Diego State,Mountain West,7,,1565,1557,9,Arizona State,Pac-10,10,,1511,1519,,,
63078,2000,2,regular,2000-08-31T00:00:00.000Z,,false,,,,,2390,Miami,Big East,61,,,,2377,McNeese,,14,,,,,,
63073,2000,2,regular,2000-08-31T00:00:00.000Z,,false,,,,,154,Wake Forest,ACC,16,,1562,1550,2026,Appalachian State,,20,,1479,1491,,,
63077,2000,2,regular,2000-08-31T00:00:00.000Z,,false,,,,,276,Marshall,Mid-American,63,,,,2546,Southeast Missouri State,,7,,,,,,
63081,2000,2,regular,2000-09-02T00:00:00.000Z,,false,,,,,2005,Air Force,Mountain West,55,,,,1000887,Cal State Northridge,,6,,,,,,
63083,2000,2,regular,2000-09-02T00:00:00.000Z,,false,,,,,8,Arkansas,SEC,38,,,,2623,Missouri State,,0,,,,,,
63129,2000,2,regular,2000-09-02T00:00:00.000Z,,false,true,,,,277,West Virginia,Big East,34,,1595,1628,103,Boston College,Big East,14,,1459,1426,,,
63109,2000,2,regular,2000-09-02T00:00:00.000Z,,false,,,,,201,Oklahoma,Big 12,55,,1725,1790,2638,UTEP,Western Athletic,14,,1306,1241,,,
63112,2000,2,regular,2000-09-02T00:00:00.000Z,,false,,,,,221,Pittsburgh,Big East,30,,1446,1475,2309,Kent State,Mid-American,7,,1186,1157,,,
63117,2000,2,regular,2000-09-02T00:00:00.000Z,,false,,,,,2579,South Carolina,SEC,31,,1367,1450,166,New Mexico State,Big West,0,,1363,1280,,,
63126,2000,2,regular,2000-09-02T00:00:00.000Z,,false,,,,,26,UCLA,Pac-10,35,,1451,1494,333,Alabama,SEC,24,,1727,1684,,,
63127,2000,2,regular,2000-09-02T00:00:00.000Z,,false,,,,,259,Virginia Tech,Big East,52,,1903,1926,2006,Akron,Mid-American,23,,1421,1398,,,
